Station,Latitude,Longitude,Height
8508185,47.14630042,7.790966274,606.7205633
8508186,47.13713423,7.813829198,632.7215409
8508187,47.11459382,7.842725149,686.7502447
8504100,46.80326823,7.151025376,660.1977479
8504101,46.85104382,7.189751354,646.0402734
8504102,46.86293135,7.253918599,656.9489581
8504103,46.88848424,7.319566105,601.8217383
8508200,46.91521957,7.564843157,656.5189482
8504105,46.92549982,7.376454428,617.6740165
8504106,46.93748113,7.395233521,611.625852
8508203,46.89974161,7.662879202,729.4633669
8504108,46.94420416,7.406116495,600.5984946
8508205,46.91962556,7.725453534,733.3529943
8508206,46.94814686,7.74729235,699.2602644
8508207,46.93923517,7.784185107,722.2469852
8508208,46.92168858,7.846133302,781.2310749
8504113,46.87185876,7.280646147,647.9008858
8508210,46.91534113,7.936363401,902.1595029
8504115,46.89355963,7.351861307,624.778016
8500020,47.53357923,7.647889884,328.8847973
8508213,46.99368668,8.062352564,732.8407162
8500022,47.50145544,7.719100675,358.8975575
8500023,47.48445344,7.731363426,374.9285486
8500024,47.47019435,7.759829736,391.9371367
8500025,47.467264,7.787214569,406.918282
8500026,47.46274354,7.812025553,423.9058663
8500027,47.46587898,7.84765939,450.8638396
8500028,47.44575481,7.887611179,492.8760081
8504125,46.86850766,7.011384323,489.1662652
8504126,46.88459899,7.04092091,488.0975454
8500021,47.52265619,7.69081226,337.8713049
8500032,47.43900883,7.851469841,497.9276249
8500033,47.42536792,7.850529211,527.9627636
8500034,47.40898106,7.847792509,568.0065185
8500035,47.39212253,7.856219369,607.0407383
8504132,46.84450132,6.842962626,513.3868382
8504133,46.81602767,6.889165862,519.4149573
8504134,46.8196425,6.93988198,502.3576448
8504135,46.82884717,6.957189087,501.317945
8504136,46.81860395,6.977486995,534.3245066
8504137,46.82845169,7.011623413,601.2671568
8504138,46.83197031,7.066055869,662.206427
8504139,46.81691881,7.106230415,663.2060898
8504140,46.93797297,7.133258085,483.8749555
8504141,46.73500047,6.870103666,526.6378014
8504144,46.78214736,6.662319546,485.7155115
8504120,46.66805689,6.80250369,560.8712428
8504121,46.70777161,6.842143644,489.7331864
8508250,46.7626481,7.619229299,606.8500709
8508251,46.7729095,7.615021635,612.8283437
8508252,46.78158121,7.609026401,600.8123374
8504122,46.75883996,6.894290584,519.5545755
8508254,46.81831603,7.61068882,626.7183888
8508255,46.83953386,7.618045146,653.6579528
8508256,46.87094685,7.622950508,703.5742597
8508219,47.0530566,8.257097714,504.5024388
8508260,46.90403928,7.634600434,792.4798464
8508261,46.92447129,7.62702034,788.4357994
8508262,46.94766495,7.618997176,740.3852304
8508263,46.96560308,7.623590569,724.3357166
8508264,46.99449116,7.656832954,655.2310964
8504124,46.8544016,6.985362691,492.2266275
8508266,47.00492732,7.682740027,631.179914
8508267,46.99676094,7.710207074,649.1739534
8508268,46.97608572,7.740684607,674.1964788
8508269,46.96593438,7.749181546,682.2137689
8508271,47.00842101,7.72407374,673.1312914
8508272,47.02541578,7.737068538,712.0760733
8500090,47.56814549,7.607296273,310.8365693
8500031,47.44955334,7.837708955,467.9143584
8504191,46.88990473,7.310522495,581.8268199
8504192,46.89413808,7.299857206,573.826365
8504128,46.92539348,7.115380966,502.9237172
8504194,46.90260097,7.238020136,538.8641804
8500100,47.21984049,7.201646381,803.0991108
8500101,47.23522658,7.227422193,777.0358514
8500102,47.23870527,7.275943344,746.9809884
8500103,47.23923823,7.305776088,729.9512798
8500104,47.2405876,7.34210578,714.9133118
8500105,47.28066651,7.381050283,577.7753007
8500109,47.36200149,7.350066708,461.5999303
8504206,46.92969324,6.811685523,539.2011133
8504208,46.95944983,6.83505335,541.1037941
8500113,47.41933799,7.502641973,403.310481
8500114,47.43379081,7.530468537,395.2476184
8500115,47.44128966,7.591993839,370.1701142
8500116,47.45343391,7.603458936,364.1286437
8500117,47.467735,7.603065504,347.0930619
8500118,47.48860735,7.611117784,342.0329066
8500119,47.51338479,7.617596637,320.9644376
8500120,47.34282342,7.317943528,485.6787488
8500121,47.33507514,7.291169082,499.723689
8500122,47.336683,7.246853981,526.7616753
8500123,47.33520242,7.20931068,553.8009886
8500124,47.36769488,7.165959732,540.7600903
8500125,47.40522104,7.124208517,536.7048907
8500126,47.42091356,7.080092711,471.7069242
8500037,47.36604394,7.904282741,483.0599793
8500128,47.49262557,7.016564199,421.5857347
8504225,47.05662901,7.066338021,486.639229
8504226,47.0628267,7.095228531,483.5961616
8504227,47.08376267,7.135153575,483.5054208
8504228,47.09365762,7.156500585,483.4601776
8504229,47.11499668,7.197313885,484.3675664
8500135,47.23884337,7.254164907,761.0013357
8500136,47.53786108,7.608953336,331.911135
8504234,46.96710864,6.812260704,735.1059833
8504236,47.01509061,6.853222059,899.9459867
8500141,47.43976568,7.05765474,454.6804954
8500143,47.46991827,7.048114216,439.6133734
8500144,47.47932646,7.029976068,288.6066946
8500159,47.19180338,7.389472058,515.9910333
8504284,46.93109917,6.654364202,779.3460717
8504285,46.92335934,6.635674979,784.3832684
8504286,46.9118623,6.610340487,785.4362313
8504287,46.90486788,6.581585128,792.4810092
8504288,46.88849155,6.553870759,819.5485565
8500200,47.17143462,7.340199197,485.0893085
8500201,47.17942352,7.366555541,488.0440621
8500202,47.18876654,7.39818316,488.9903696
8500203,47.19494358,7.428370786,489.9460098
8500204,47.20061831,7.456638384,487.9047347
8500205,47.20890103,7.507867959,491.8349374
8500206,47.20670731,7.531953007,481.8174213
8500207,47.20417959,7.542691951,480.8135041
8500208,47.21714182,7.58352278,478.74182
8500209,47.21821622,7.618906259,477.705222
8500210,47.23194964,7.656230584,471.6349225
8500211,47.27039441,7.694815281,516.5013146
8500212,47.28502119,7.709861715,510.4501356
8500213,47.30524087,7.77171719,490.3399913
8500214,47.31485516,7.798955996,483.2896924
8500215,47.33025796,7.843815553,476.207922
8500216,47.3413944,7.868353481,465.1563825
8500217,47.34854898,7.897711501,451.110193
8500218,47.35192679,7.907693288,444.0921146
8504315,47.09864988,6.826029969,1043.760459
8500220,47.11865972,7.33775296,483.2245692
8500221,47.13814914,7.371237948,492.1435344
8504301,47.16944532,7.257530002,604.1730397
8500260,47.27255741,7.45663619,747.7236852
